GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AKGVE001,NAME_M,AKGVM001
"G1200990","2014-2018",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Beach County, Florida",0.5221,"Palm Beach County, Florida",0.0040
"G1201010","2014-2018",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pasco County, Florida",0.4517,"Pasco County, Florida",0.0061
"G1201030","2014-2018",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pinellas County, Florida",0.4857,"Pinellas County, Florida",0.0046
"G1201050","2014-2018",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,"Polk County, Florida",0.4423,"Polk County, Florida",0.0064
"G1201070","2014-2018",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,"Putnam County, Florida",0.4599,"Putnam County, Florida",0.0174
"G1201090","2014-2018",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Johns County, Florida",0.4655,"St. Johns County, Florida",0.0093
"G1201110","2014-2018",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Lucie County, Florida",0.4475,"St. Lucie County, Florida",0.0098
"G1201130","2014-2018",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Rosa County, Florida",0.4216,"Santa Rosa County, Florida",0.0129
"G1201150","2014-2018",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sarasota County, Florida",0.4850,"Sarasota County, Florida",0.0064
"G1201170","2014-2018",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,"Seminole County, Florida",0.4600,"Seminole County, Florida",0.0070
"G1201190","2014-2018",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Florida",0.4278,"Sumter County, Florida",0.0146
"G1201210","2014-2018",,,"Florida","12","Suwannee County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,"Suwannee County, Florida",0.4715,"Suwannee County, Florida",0.0469
"G1201230","2014-2018",,,"Florida","12","Taylor County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,"Taylor County, Florida",0.4179,"Taylor County, Florida",0.0272
"G1201250","2014-2018",,,"Florida","12","Union County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,"Union County, Florida",0.4736,"Union County, Florida",0.0854
"G1201270","2014-2018",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,"Volusia County, Florida",0.4617,"Volusia County, Florida",0.0072
"G1201290","2014-2018",,,"Florida","12","Wakulla County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,"Wakulla County, Florida",0.3787,"Wakulla County, Florida",0.0190
"G1201310","2014-2018",,,"Florida","12","Walton County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,"Walton County, Florida",0.4993,"Walton County, Florida",0.0215
"G1201330","2014-2018",,,"Florida","12","Washington County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Florida",0.4401,"Washington County, Florida",0.0245
"G1300010","2014-2018",,,"Georgia","13","Appling County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Appling County, Georgia",0.4446,"Appling County, Georgia",0.0269
"G1300030","2014-2018",,,"Georgia","13","Atkinson County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Atkinson County, Georgia",0.4765,"Atkinson County, Georgia",0.0513
"G1300050","2014-2018",,,"Georgia","13","Bacon County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bacon County, Georgia",0.4588,"Bacon County, Georgia",0.0485
"G1300070","2014-2018",,,"Georgia","13","Baker County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Baker County, Georgia",0.4744,"Baker County, Georgia",0.0409
"G1300090","2014-2018",,,"Georgia","13","Baldwin County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Georgia",0.4897,"Baldwin County, Georgia",0.0269
"G1300110","2014-2018",,,"Georgia","13","Banks County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Banks County, Georgia",0.4035,"Banks County, Georgia",0.0205
"G1300130","2014-2018",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Barrow County, Georgia",0.3943,"Barrow County, Georgia",0.0134
"G1300150","2014-2018",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bartow County, Georgia",0.4303,"Bartow County, Georgia",0.0165
"G1300170","2014-2018",,,"Georgia","13","Ben Hill County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ben Hill County, Georgia",0.4607,"Ben Hill County, Georgia",0.0292
"G1300190","2014-2018",,,"Georgia","13","Berrien County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Berrien County, Georgia",0.4471,"Berrien County, Georgia",0.0208
"G1300210","2014-2018",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Georgia",0.5221,"Bibb County, Georgia",0.0137
"G1300230","2014-2018",,,"Georgia","13","Bleckley County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bleckley County, Georgia",0.4450,"Bleckley County, Georgia",0.0309
"G1300250","2014-2018",,,"Georgia","13","Brantley County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,"Brantley County, Georgia",0.4420,"Brantley County, Georgia",0.0265
"G1300270","2014-2018",,,"Georgia","13","Brooks County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooks County, Georgia",0.5321,"Brooks County, Georgia",0.0412
"G1300290","2014-2018",,,"Georgia","13","Bryan County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bryan County, Georgia",0.4416,"Bryan County, Georgia",0.0284
"G1300310","2014-2018",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bulloch County, Georgia",0.4773,"Bulloch County, Georgia",0.0150
"G1300330","2014-2018",,,"Georgia","13","Burke County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,"Burke County, Georgia",0.4486,"Burke County, Georgia",0.0193
"G1300350","2014-2018",,,"Georgia","13","Butts County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,"Butts County, Georgia",0.4747,"Butts County, Georgia",0.0517
"G1300370","2014-2018",,,"Georgia","13","Calhoun County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Georgia",0.4947,"Calhoun County, Georgia",0.0484
"G1300390","2014-2018",,,"Georgia","13","Camden County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,"Camden County, Georgia",0.4366,"Camden County, Georgia",0.0361
"G1300430","2014-2018",,,"Georgia","13","Candler County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,"Candler County, Georgia",0.5137,"Candler County, Georgia",0.0518
"G1300450","2014-2018",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Georgia",0.4466,"Carroll County, Georgia",0.0146
"G1300470","2014-2018",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,"Catoosa County, Georgia",0.4156,"Catoosa County, Georgia",0.0183
"G1300490","2014-2018",,,"Georgia","13","Charlton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,"Charlton County, Georgia",0.4360,"Charlton County, Georgia",0.0234
"G1300510","2014-2018",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chatham County, Georgia",0.4804,"Chatham County, Georgia",0.0105
"G1300530","2014-2018",,,"Georgia","13","Chattahoochee County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chattahoochee County, Georgia",0.4753,"Chattahoochee County, Georgia",0.1025
"G1300550","2014-2018",,,"Georgia","13","Chattooga County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chattooga County, Georgia",0.4602,"Chattooga County, Georgia",0.0348
"G1300570","2014-2018",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Georgia",0.4110,"Cherokee County, Georgia",0.0101
"G1300590","2014-2018",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Georgia",0.5271,"Clarke County, Georgia",0.0124
"G1300610","2014-2018",,,"Georgia","13","Clay County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Georgia",0.4930,"Clay County, Georgia",0.0400
"G1300630","2014-2018",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clayton County, Georgia",0.4175,"Clayton County, Georgia",0.0111
"G1300650","2014-2018",,,"Georgia","13","Clinch County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clinch County, Georgia",0.5444,"Clinch County, Georgia",0.0398
"G1300670","2014-2018",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cobb County, Georgia",0.4518,"Cobb County, Georgia",0.0053
"G1300690","2014-2018",,,"Georgia","13","Coffee County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Georgia",0.5001,"Coffee County, Georgia",0.0253
"G1300710","2014-2018",,,"Georgia","13","Colquitt County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,"Colquitt County, Georgia",0.4732,"Colquitt County, Georgia",0.0187
"G1300730","2014-2018",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Georgia",0.4081,"Columbia County, Georgia",0.0120
"G1300750","2014-2018",,,"Georgia","13","Cook County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook County, Georgia",0.4625,"Cook County, Georgia",0.0270
"G1300770","2014-2018",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coweta County, Georgia",0.4278,"Coweta County, Georgia",0.0141
"G1300790","2014-2018",,,"Georgia","13","Crawford County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Georgia",0.4397,"Crawford County, Georgia",0.0294
"G1300810","2014-2018",,,"Georgia","13","Crisp County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,"Crisp County, Georgia",0.5504,"Crisp County, Georgia",0.0431
"G1300830","2014-2018",,,"Georgia","13","Dade County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dade County, Georgia",0.4495,"Dade County, Georgia",0.0268
"G1300850","2014-2018",,,"Georgia","13","Dawson County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dawson County, Georgia",0.4358,"Dawson County, Georgia",0.0266
"G1300870","2014-2018",,,"Georgia","13","Decatur County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,"Decatur County, Georgia",0.5091,"Decatur County, Georgia",0.0258
"G1300890","2014-2018",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Georgia",0.4904,"DeKalb County, Georgia",0.0049
"G1300910","2014-2018",,,"Georgia","13","Dodge County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dodge County, Georgia",0.4665,"Dodge County, Georgia",0.0256
"G1300930","2014-2018",,,"Georgia","13","Dooly County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dooly County, Georgia",0.4669,"Dooly County, Georgia",0.0377
"G1300950","2014-2018",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dougherty County, Georgia",0.4948,"Dougherty County, Georgia",0.0132
"G1300970","2014-2018",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,"Douglas County, Georgia",0.4071,"Douglas County, Georgia",0.0114
"G1300990","2014-2018",,,"Georgia","13","Early County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,"Early County, Georgia",0.4698,"Early County, Georgia",0.0200
"G1301010","2014-2018",,,"Georgia","13","Echols County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,"Echols County, Georgia",0.5039,"Echols County, Georgia",0.0609
"G1301030","2014-2018",,,"Georgia","13","Effingham County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,"Effingham County, Georgia",0.4263,"Effingham County, Georgia",0.0524
"G1301050","2014-2018",,,"Georgia","13","Elbert County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,"Elbert County, Georgia",0.4838,"Elbert County, Georgia",0.0402
"G1301070","2014-2018",,,"Georgia","13","Emanuel County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,"Emanuel County, Georgia",0.4680,"Emanuel County, Georgia",0.0272
"G1301090","2014-2018",,,"Georgia","13","Evans County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,"Evans County, Georgia",0.4738,"Evans County, Georgia",0.0314
"G1301110","2014-2018",,,"Georgia","13","Fannin County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fannin County, Georgia",0.4519,"Fannin County, Georgia",0.0281
"G1301130","2014-2018",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Georgia",0.4337,"Fayette County, Georgia",0.0137
"G1301150","2014-2018",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,"Floyd County, Georgia",0.4768,"Floyd County, Georgia",0.0163
"G1301170","2014-2018",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,"Forsyth County, Georgia",0.4037,"Forsyth County, Georgia",0.0076
"G1301190","2014-2018",,,"Georgia","13","Franklin County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Georgia",0.4927,"Franklin County, Georgia",0.0355
"G1301210","2014-2018",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Georgia",0.5402,"Fulton County, Georgia",0.0050
"G1301230","2014-2018",,,"Georgia","13","Gilmer County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,"Gilmer County, Georgia",0.4486,"Gilmer County, Georgia",0.0283
"G1301250","2014-2018",,,"Georgia","13","Glascock County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,"Glascock County, Georgia",0.4361,"Glascock County, Georgia",0.0513
"G1301270","2014-2018",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,"Glynn County, Georgia",0.5042,"Glynn County, Georgia",0.0215
"G1301290","2014-2018",,,"Georgia","13","Gordon County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,"Gordon County, Georgia",0.4540,"Gordon County, Georgia",0.0227
"G1301310","2014-2018",,,"Georgia","13","Grady County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,"Grady County, Georgia",0.4705,"Grady County, Georgia",0.0263
"G1301330","2014-2018",,,"Georgia","13","Greene County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Georgia",0.5730,"Greene County, Georgia",0.0278
"G1301350","2014-2018",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,"Gwinnett County, Georgia",0.4300,"Gwinnett County, Georgia",0.0048
"G1301370","2014-2018",,,"Georgia","13","Habersham County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,"Habersham County, Georgia",0.4307,"Habersham County, Georgia",0.0144
"G1301390","2014-2018",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hall County, Georgia",0.4486,"Hall County, Georgia",0.0094
"G1301410","2014-2018",,,"Georgia","13","Hancock County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Georgia",0.4923,"Hancock County, Georgia",0.0577
"G1301430","2014-2018",,,"Georgia","13","Haralson County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,"Haralson County, Georgia",0.4509,"Haralson County, Georgia",0.0307
"G1301450","2014-2018",,,"Georgia","13","Harris County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,"Harris County, Georgia",0.4352,"Harris County, Georgia",0.0320
"G1301470","2014-2018",,,"Georgia","13","Hart County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hart County, Georgia",0.4590,"Hart County, Georgia",0.0232
"G1301490","2014-2018",,,"Georgia","13","Heard County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,"Heard County, Georgia",0.4098,"Heard County, Georgia",0.0265
"G1301510","2014-2018",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Georgia",0.3963,"Henry County, Georgia",0.0080
"G1301530","2014-2018",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Georgia",0.4368,"Houston County, Georgia",0.0134
"G1301550","2014-2018",,,"Georgia","13","Irwin County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,"Irwin County, Georgia",0.4842,"Irwin County, Georgia",0.0384
"G1301570","2014-2018",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Georgia",0.4194,"Jackson County, Georgia",0.0182
"G1301590","2014-2018",,,"Georgia","13","Jasper County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jasper County, Georgia",0.4199,"Jasper County, Georgia",0.0231
"G1301610","2014-2018",,,"Georgia","13","Jeff Davis County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jeff Davis County, Georgia",0.4429,"Jeff Davis County, Georgia",0.0363
"G1301630","2014-2018",,,"Georgia","13","Jefferson County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Georgia",0.4742,"Jefferson County, Georgia",0.0349
"G1301650","2014-2018",,,"Georgia","13","Jenkins County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jenkins County, Georgia",0.4413,"Jenkins County, Georgia",0.0464
"G1301670","2014-2018",,,"Georgia","13","Johnson County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Georgia",0.4361,"Johnson County, Georgia",0.0234
"G1301690","2014-2018",,,"Georgia","13","Jones County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jones County, Georgia",0.4248,"Jones County, Georgia",0.0253
"G1301710","2014-2018",,,"Georgia","13","Lamar County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Georgia",0.4788,"Lamar County, Georgia",0.0308
"G1301730","2014-2018",,,"Georgia","13","Lanier County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lanier County, Georgia",0.4906,"Lanier County, Georgia",0.0387
"G1301750","2014-2018",,,"Georgia","13","Laurens County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,"Laurens County, Georgia",0.4952,"Laurens County, Georgia",0.0163
"G1301770","2014-2018",,,"Georgia","13","Lee County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Georgia",0.4005,"Lee County, Georgia",0.0231
"G1301790","2014-2018",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,"Liberty County, Georgia",0.3993,"Liberty County, Georgia",0.0140
"G1301810","2014-2018",,,"Georgia","13","Lincoln County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Georgia",0.4810,"Lincoln County, Georgia",0.0374
"G1301830","2014-2018",,,"Georgia","13","Long County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,"Long County, Georgia",0.3810,"Long County, Georgia",0.0327
"G1301850","2014-2018",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Georgia",0.5310,"Lowndes County, Georgia",0.0222
"G1301870","2014-2018",,,"Georgia","13","Lumpkin County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lumpkin County, Georgia",0.4582,"Lumpkin County, Georgia",0.0294
"G1301890","2014-2018",,,"Georgia","13","McDuffie County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,"McDuffie County, Georgia",0.4714,"McDuffie County, Georgia",0.0284
"G1301910","2014-2018",,,"Georgia","13","McIntosh County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,"McIntosh County, Georgia",0.4562,"McIntosh County, Georgia",0.0334
"G1301930","2014-2018",,,"Georgia","13","Macon County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Georgia",0.4729,"Macon County, Georgia",0.0321
"G1301950","2014-2018",,,"Georgia","13","Madison County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Georgia",0.4277,"Madison County, Georgia",0.0202
"G1301970","2014-2018",,,"Georgia","13","Marion County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Georgia",0.4385,"Marion County, Georgia",0.0379
"G1301990","2014-2018",,,"Georgia","13","Meriwether County","199",,,,,,,,,,,,,,,,,,,,,,,,,,,"Meriwether County, Georgia",0.4608,"Meriwether County, Georgia",0.0292
"G1302010","2014-2018",,,"Georgia","13","Miller County","201",,,,,,,,,,,,,,,,,,,,,,,,,,,"Miller County, Georgia",0.4555,"Miller County, Georgia",0.0390
"G1302050","2014-2018",,,"Georgia","13","Mitchell County","205",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mitchell County, Georgia",0.4672,"Mitchell County, Georgia",0.0492
"G1302070","2014-2018",,,"Georgia","13","Monroe County","207",,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Georgia",0.5408,"Monroe County, Georgia",0.0533
"G1302090","2014-2018",,,"Georgia","13","Montgomery County","209",,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Georgia",0.5234,"Montgomery County, Georgia",0.0758
"G1302110","2014-2018",,,"Georgia","13","Morgan County","211",,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Georgia",0.4544,"Morgan County, Georgia",0.0280
"G1302130","2014-2018",,,"Georgia","13","Murray County","213",,,,,,,,,,,,,,,,,,,,,,,,,,,"Murray County, Georgia",0.4054,"Murray County, Georgia",0.0236
"G1302150","2014-2018",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,,,,,,,,,,"Muscogee County, Georgia",0.4916,"Muscogee County, Georgia",0.0104
"G1302170","2014-2018",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton County, Georgia",0.4384,"Newton County, Georgia",0.0192
"G1302190","2014-2018",,,"Georgia","13","Oconee County","219",,,,,,,,,,,,,,,,,,,,,,,,,,,"Oconee County, Georgia",0.4529,"Oconee County, Georgia",0.0222
"G1302210","2014-2018",,,"Georgia","13","Oglethorpe County","221",,,,,,,,,,,,,,,,,,,,,,,,,,,"Oglethorpe County, Georgia",0.4137,"Oglethorpe County, Georgia",0.0203
"G1302230","2014-2018",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,,,,,,,,,,"Paulding County, Georgia",0.3858,"Paulding County, Georgia",0.0137
"G1302250","2014-2018",,,"Georgia","13","Peach County","225",,,,,,,,,,,,,,,,,,,,,,,,,,,"Peach County, Georgia",0.4707,"Peach County, Georgia",0.0264
"G1302270","2014-2018",,,"Georgia","13","Pickens County","227",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Georgia",0.4275,"Pickens County, Georgia",0.0263
"G1302290","2014-2018",,,"Georgia","13","Pierce County","229",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pierce County, Georgia",0.4560,"Pierce County, Georgia",0.0416
"G1302310","2014-2018",,,"Georgia","13","Pike County","231",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Georgia",0.4545,"Pike County, Georgia",0.0363
"G1302330","2014-2018",,,"Georgia","13","Polk County","233",,,,,,,,,,,,,,,,,,,,,,,,,,,"Polk County, Georgia",0.4879,"Polk County, Georgia",0.0493
"G1302350","2014-2018",,,"Georgia","13","Pulaski County","235",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pulaski County, Georgia",0.4597,"Pulaski County, Georgia",0.0292
"G1302370","2014-2018",,,"Georgia","13","Putnam County","237",,,,,,,,,,,,,,,,,,,,,,,,,,,"Putnam County, Georgia",0.4768,"Putnam County, Georgia",0.0359
"G1302390","2014-2018",,,"Georgia","13","Quitman County","239",,,,,,,,,,,,,,,,,,,,,,,,,,,"Quitman County, Georgia",0.4580,"Quitman County, Georgia",0.0505
"G1302410","2014-2018",,,"Georgia","13","Rabun County","241",,,,,,,,,,,,,,,,,,,,,,,,,,,"Rabun County, Georgia",0.5261,"Rabun County, Georgia",0.0451
"G1302430","2014-2018",,,"Georgia","13","Randolph County","243",,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Georgia",0.5508,"Randolph County, Georgia",0.1086
"G1302450","2014-2018",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,,,,,,,,,,"Richmond County, Georgia",0.4761,"Richmond County, Georgia",0.0130
"G1302470","2014-2018",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockdale County, Georgia",0.4209,"Rockdale County, Georgia",0.0111
"G1302490","2014-2018",,,"Georgia","13","Schley County","249",,,,,,,,,,,,,,,,,,,,,,,,,,,"Schley County, Georgia",0.4679,"Schley County, Georgia",0.0367
"G1302510","2014-2018",,,"Georgia","13","Screven County","251",,,,,,,,,,,,,,,,,,,,,,,,,,,"Screven County, Georgia",0.4697,"Screven County, Georgia",0.0258
"G1302530","2014-2018",,,"Georgia","13","Seminole County","253",,,,,,,,,,,,,,,,,,,,,,,,,,,"Seminole County, Georgia",0.5647,"Seminole County, Georgia",0.0999
"G1302550","2014-2018",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,,,,,,,,,,"Spalding County, Georgia",0.4503,"Spalding County, Georgia",0.0213
"G1302570","2014-2018",,,"Georgia","13","Stephens County","257",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stephens County, Georgia",0.4629,"Stephens County, Georgia",0.0317
"G1302590","2014-2018",,,"Georgia","13","Stewart County","259",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stewart County, Georgia",0.5029,"Stewart County, Georgia",0.0368
"G1302610","2014-2018",,,"Georgia","13","Sumter County","261",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Georgia",0.4792,"Sumter County, Georgia",0.0190
"G1302630","2014-2018",,,"Georgia","13","Talbot County","263",,,,,,,,,,,,,,,,,,,,,,,,,,,"Talbot County, Georgia",0.4579,"Talbot County, Georgia",0.0389
"G1302650","2014-2018",,,"Georgia","13","Taliaferro County","265",,,,,,,,,,,,,,,,,,,,,,,,,,,"Taliaferro County, Georgia",0.4814,"Taliaferro County, Georgia",0.0770
"G1302670","2014-2018",,,"Georgia","13","Tattnall County","267",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tattnall County, Georgia",0.4679,"Tattnall County, Georgia",0.0237
"G1302690","2014-2018",,,"Georgia","13","Taylor County","269",,,,,,,,,,,,,,,,,,,,,,,,,,,"Taylor County, Georgia",0.4630,"Taylor County, Georgia",0.0311
"G1302710","2014-2018",,,"Georgia","13","Telfair County","271",,,,,,,,,,,,,,,,,,,,,,,,,,,"Telfair County, Georgia",0.4343,"Telfair County, Georgia",0.0307
